image_name,ocr_blocks,ocr_confidence,word_count,mixed_script,scripts_detected,handwritten_blocks,segments_found,layout_confidence,zone_prescriber,zone_patient,zone_drug,zone_dosage,zone_duration,zone_clinical,zone_annotation,bbox_prescriber,bbox_patient,bbox_drug,bbox_dosage,bbox_duration,bbox_clinical,bbox_annotation,conf_prescriber,conf_patient,conf_drug,conf_dosage,conf_duration,conf_clinical,conf_annotation,status,error_msg
1.jpg,10,medium,32,0,latin,2,6,medium,1,1,1,1,0,0,1,1,0,0,0,0,0,1,high,medium,high,medium,,,low,success,
2.jpg,23,medium,88,0,latin,14,8,medium,1,1,1,1,1,1,1,1,0,1,0,1,1,1,high,high,high,medium,high,medium,low,success,
3.jpg,14,medium,45,0,latin,9,4,medium,1,0,1,1,0,0,0,1,0,1,0,0,0,0,medium,,high,medium,,,,success,
4.jpg,61,medium,196,1,latin|devanagari,18,6,medium,1,1,0,0,0,1,1,0,1,0,0,0,1,1,high,high,,,,medium,high,success,
5.jpg,15,medium,44,0,latin,10,6,low,1,1,1,1,0,1,1,0,1,0,0,0,1,1,low,low,medium,low,,low,low,success,
6.jpg,24,medium,57,0,latin,13,7,medium,1,1,1,1,1,0,1,1,1,0,0,0,0,1,high,medium,low,medium,high,,low,success,
7.jpg,22,medium,108,0,latin,12,7,medium,1,1,1,1,1,1,1,1,1,1,1,1,1,1,high,medium,medium,low,low,low,low,success,
8.jpg,29,medium,64,0,latin,16,6,medium,1,0,1,1,1,1,1,1,0,1,1,0,1,1,high,,high,high,low,medium,low,success,
9.jpg,19,high,48,0,latin,0,7,high,1,1,1,1,1,1,1,1,1,0,0,0,0,0,high,high,high,high,medium,low,low,success,
10.jpg,24,high,153,0,latin,2,5,medium,1,1,0,0,0,1,1,1,1,0,0,0,1,1,high,high,,,,high,low,success,
11.jpg,22,medium,60,1,latin|devanagari,13,7,medium,1,1,1,1,1,1,1,1,1,1,1,1,1,1,high,medium,high,high,low,medium,low,success,
12.jpg,8,medium,20,0,latin,6,4,low,0,0,1,1,0,0,1,0,0,0,0,0,0,1,,,medium,medium,,,low,success,
13.jpg,14,high,44,0,latin,1,2,low,0,1,0,0,0,0,1,0,1,0,0,0,0,1,,medium,,,,,low,success,
14.jpg,21,medium,98,0,latin,6,8,high,1,1,1,1,1,1,1,1,1,1,1,1,0,0,high,high,high,high,medium,medium,high,success,
15.jpg,12,high,46,0,latin,4,7,medium,1,1,1,1,1,0,1,1,1,0,0,0,0,1,high,medium,high,high,low,,low,success,
16.jpg,21,high,42,0,latin,1,5,medium,1,0,1,1,0,1,1,0,0,1,0,0,1,1,high,,high,medium,,medium,low,success,
